aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
153.68,201.0,1116.7524,-1.4761001,203.0,23.2,458.0,1614.0,12.883019,0.3614931,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1094.9028,-1.6057999,203.0,23.2,545.0,1830.0,12.5486555,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1219.645,-1.6057999,204.0,23.2,545.0,1830.0,8.373566,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1313.7522,-1.6057999,204.0,23.2,545.0,1830.0,0.41513607,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1322.6561,-1.6057999,204.0,23.2,545.0,1830.0,1.1064422,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1331.8076,-1.6057999,204.0,23.2,545.0,1830.0,1.3159031,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1334.9393,-1.6057999,204.0,23.2,545.0,1830.0,2.592632,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1327.8202,-1.6057999,204.0,23.2,545.0,1830.0,2.9051094,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1312.596,-1.6057999,204.0,23.2,545.0,1830.0,3.2050579,0.35907337,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1308.8434,-1.6608001,204.0,23.2,545.0,1830.0,2.7547042,0.3583815,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1146.729,-1.4761001,203.0,23.2,545.0,1830.0,12.210985,0.3614931,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1174.0474,-1.4761001,203.0,23.2,545.0,1830.0,2.6510155,0.3614931,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1276.1066,-1.6057999,204.0,23.2,545.0,1830.0,0.999718,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1319.704,-1.6057999,204.0,23.2,545.0,1830.0,0.7539623,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1326.7404,-1.6057999,204.0,23.2,545.0,1830.0,1.5763566,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1321.2483,-1.6608001,204.0,23.2,545.0,1830.0,1.913884,0.3583815,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1324.4303,-1.6608001,204.0,23.2,545.0,1830.0,2.529907,0.3583815,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1319.957,-1.6608001,204.0,23.2,545.0,1830.0,2.6965492,0.3583815,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1314.743,-1.6608001,204.0,23.2,545.0,1830.0,2.80117,0.3583815,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1312.9283,-1.6608001,204.0,23.2,545.0,1830.0,2.5976942,0.3583815,1.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1249.9423,-1.6057999,203.0,23.2,545.0,1830.0,11.840244,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1312.526,-1.6057999,203.0,23.2,545.0,1830.0,3.1109931,0.35907337,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1311.0521,-1.6608001,204.0,23.2,545.0,1830.0,1.236876,0.3583815,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
108.8,201.0,1313.0509,-1.6608001,204.0,23.2,545.0,1830.0,0.59403586,0.3583815,2.0,10.0,0.45,0.34,0.11,0.45,0.56,0.67,0.78
