aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
36.32,201.0,1398.7637,-1.4471,199.0,23.2,249.0,933.0,8.137036,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1417.8428,-1.4471,200.0,23.2,249.0,933.0,12.6371155,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1394.7448,-1.4471,200.0,23.2,249.0,933.0,9.727944,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1358.613,-1.4471,200.0,23.2,552.0,2210.0,2.7964942,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1353.5001,-1.4471,200.0,23.2,552.0,2210.0,0.78644466,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1348.0403,-1.4471,200.0,23.2,552.0,2210.0,0.42719018,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1343.0028,-1.4471,200.0,23.2,552.0,2210.0,0.4445741,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1342.3291,-1.4471,200.0,23.2,552.0,2210.0,0.8787278,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1344.3475,-1.4471,200.0,23.2,552.0,2210.0,0.9764114,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1346.2861,-1.4471,200.0,23.2,552.0,2210.0,0.3381946,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1344.4115,-1.45,200.0,23.2,552.0,2210.0,0.6375885,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1344.284,-1.45,200.0,23.2,552.0,2210.0,0.7349076,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1346.6648,-1.45,200.0,23.2,552.0,2210.0,0.9942466,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1352.3667,-1.45,200.0,23.2,552.0,2210.0,1.0404619,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1356.6101,-1.45,200.0,23.2,552.0,2210.0,1.0461025,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1356.5898,-1.45,200.0,23.2,552.0,2210.0,1.3724868,0.364,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1367.2427,-1.45,200.0,23.2,552.0,2210.0,1.2786071,0.364,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1385.8151,-1.4384,200.0,23.1,552.0,2210.0,0.9414272,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1370.3068,-1.4384,200.0,23.1,552.0,2210.0,0.48627982,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1355.0513,-1.4384,200.0,23.1,552.0,2210.0,0.9905596,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1344.9707,-1.4384,200.0,23.1,552.0,2210.0,0.70218915,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1342.306,-1.4384,200.0,23.1,552.0,2210.0,0.54943216,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1339.8167,-1.4384,200.0,23.1,552.0,2210.0,1.24771,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1338.4292,-1.4384,200.0,23.1,552.0,2210.0,1.5005153,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,201.0,1322.5725,-1.4384,200.0,23.1,552.0,2210.0,3.3779628,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1274.5579,-1.4384,200.0,23.1,249.0,933.0,4.975314,0.36491936,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1367.5463,-1.4471,199.0,23.2,249.0,933.0,4.741593,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1384.8965,-1.4471,200.0,23.2,249.0,933.0,9.180211,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.32,201.0,1386.2043,-1.4471,200.0,23.2,249.0,933.0,12.643892,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1365.0399,-1.4471,200.0,23.2,552.0,2210.0,5.013082,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.03,64.0,1347.9371,-1.4471,200.0,23.2,552.0,2210.0,0.91395587,0.36472946,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
