aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
125.2,125.0,883.0919,-1.9355,210.0,23.2,3990.0,6461.0,21.510077,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,982.15906,-1.9355,210.0,23.2,3990.0,6461.0,13.450092,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,955.87646,-1.9355,210.0,23.2,3990.0,6461.0,16.920416,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,886.11255,-1.9355,210.0,23.2,3990.0,6461.0,24.263906,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,813.9535,-1.9355,210.0,23.2,3990.0,6461.0,29.272356,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,731.93756,-1.9355,210.0,23.2,3990.0,6461.0,24.214422,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,838.7947,-1.9355,210.0,23.2,3990.0,6461.0,24.457087,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,922.33563,-1.9355,210.0,23.2,3990.0,6461.0,24.524967,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,856.11346,-1.9355,210.0,23.2,3990.0,6461.0,20.649635,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,905.7019,-1.9355,210.0,23.2,3990.0,6461.0,18.936886,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,919.81085,-1.9355,210.0,23.2,3990.0,6461.0,20.658728,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,906.7773,-1.9355,210.0,23.2,3990.0,6461.0,23.668787,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,817.55646,-1.9355,210.0,23.2,3990.0,6461.0,24.483332,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,752.6612,-1.9355,210.0,23.2,3990.0,6461.0,21.500734,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,825.6415,-1.9355,210.0,23.2,3990.0,6461.0,22.499426,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,922.5063,-1.9355,210.0,23.2,3990.0,6461.0,22.104511,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,1046.9154,-1.9355,210.0,23.2,3990.0,6461.0,11.4310875,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,1054.4957,-1.9355,210.0,23.2,3990.0,6461.0,20.077717,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,1027.822,-1.9355,210.0,23.2,3990.0,6461.0,25.851688,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,841.0095,-1.9355,210.0,23.2,3990.0,6461.0,19.766056,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
125.2,125.0,859.11774,-1.9355,210.0,23.2,3990.0,6461.0,17.716463,0.34900543,6.0,10.0,0.22,0.12,0.24,0.55,0.67,0.45,0.45
