aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
177.77,201.0,1393.0142,-1.4761001,203.0,23.2,1015.0,4062.0,3.4705355,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
177.77,201.0,1390.6581,-1.4761001,203.0,23.2,1015.0,4062.0,3.0736578,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1377.4353,-1.4761001,203.0,23.2,458.0,1614.0,3.1487057,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1363.5067,-1.4761001,203.0,23.2,458.0,1614.0,2.600737,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1357.4714,-1.4761001,203.0,23.2,458.0,1614.0,2.0092142,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1350.2511,-1.4761001,203.0,23.2,458.0,1614.0,4.1681495,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1320.8778,-1.4761001,203.0,23.2,458.0,1614.0,8.015202,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1300.1854,-1.4761001,203.0,23.2,458.0,1614.0,7.312501,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1250.4629,-1.6057999,203.0,23.2,458.0,1614.0,7.4569063,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1195.0232,-1.6057999,203.0,23.2,458.0,1614.0,10.603712,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1214.508,-1.6057999,203.0,23.2,458.0,1614.0,8.839937,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1265.7445,-1.6057999,204.0,23.2,458.0,1614.0,5.0228114,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1284.6198,-1.6057999,204.0,23.2,458.0,1614.0,4.3714275,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1292.3942,-1.6057999,204.0,23.2,458.0,1614.0,4.944437,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1284.5751,-1.6057999,204.0,23.2,458.0,1614.0,9.390136,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1301.7056,-1.6057999,204.0,23.2,458.0,1614.0,6.004916,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1340.0822,-1.6057999,204.0,23.2,458.0,1614.0,6.140287,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1362.3436,-1.6057999,204.0,23.2,458.0,1614.0,4.1192346,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1359.6184,-1.6057999,204.0,23.2,458.0,1614.0,2.245312,0.35907337,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
177.77,201.0,1403.2999,-1.4761001,203.0,23.2,1015.0,4062.0,3.876262,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
177.77,201.0,1405.8558,-1.4761001,203.0,23.2,1015.0,4062.0,3.5765207,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1375.21,-1.4761001,203.0,23.2,458.0,1614.0,4.3144536,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
153.68,201.0,1343.8109,-1.4761001,203.0,23.2,458.0,1614.0,3.466125,0.3614931,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3
