aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
112.03,64.0,1357.3253,-1.386,200.0,23.2,552.0,2210.0,0.50065076,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1362.2251,-1.386,200.0,23.2,552.0,2210.0,1.3599122,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.6471,-1.386,200.0,23.2,552.0,2210.0,0.6870395,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.3776,-1.386,200.0,23.2,552.0,2210.0,1.3324138,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1359.0889,-1.386,200.0,23.2,552.0,2210.0,0.8172302,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1359.1925,-1.386,199.0,23.2,552.0,2210.0,0.5186575,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1347.4028,-1.386,199.0,23.2,552.0,2210.0,0.5602161,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1351.5375,-1.386,199.0,23.2,552.0,2210.0,0.43688416,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1355.4249,-1.386,199.0,23.2,552.0,2210.0,0.46731412,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.2284,-1.5841,201.0,23.2,552.0,2210.0,0.89104354,0.35812134,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.5525,-1.4442,201.0,23.2,552.0,2210.0,1.3677554,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1350.5507,-1.4442,201.0,23.2,552.0,2210.0,1.0645599,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1344.7858,-1.4442,201.0,23.2,552.0,2210.0,1.6786587,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.8512,-1.4442,201.0,23.2,552.0,2210.0,1.62967,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1359.7831,-1.4442,201.0,23.2,552.0,2210.0,2.639692,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1342.574,-1.4442,201.0,23.2,552.0,2210.0,1.451997,0.36546186,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1357.6022,-1.386,201.0,23.2,552.0,2210.0,1.3782301,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1359.976,-1.386,201.0,23.2,552.0,2210.0,0.64770377,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1350.2738,-1.386,200.0,23.2,552.0,2210.0,1.0083888,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1362.8955,-1.386,200.0,23.2,552.0,2210.0,0.6980354,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1376.6643,-1.386,200.0,23.2,552.0,2210.0,1.4620562,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
112.03,64.0,1364.3263,-1.386,200.0,23.2,552.0,2210.0,0.81487304,0.36565655,2.0,10.0,0.56,0.23,0.12,0.35,0.23,0.12,0.11
