aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
134.16,201.0,1202.9634,-1.6672001,203.0,23.2,378.0,1222.0,4.8559465,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1208.9839,-1.5871999,203.0,23.2,378.0,1222.0,5.9822116,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1241.226,-1.5871999,202.0,23.2,378.0,1222.0,5.0981116,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1280.3595,-1.5871999,202.0,23.2,378.0,1222.0,5.902621,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1303.0642,-1.5871999,202.0,23.2,378.0,1222.0,4.9971905,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1274.0692,-1.5871999,202.0,23.2,378.0,1222.0,4.1440177,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1236.1932,-1.5871999,202.0,23.2,378.0,1222.0,4.8829913,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1221.1675,-1.5871999,202.0,23.2,378.0,1222.0,5.3385086,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1218.0596,-1.5871999,202.0,23.2,378.0,1222.0,6.598501,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1180.4874,-1.5871999,202.0,23.2,378.0,1222.0,7.1731386,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1178.9287,-1.5871999,202.0,23.2,378.0,1222.0,7.0195704,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1233.6104,-1.5871999,202.0,23.2,378.0,1222.0,5.519421,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1268.3837,-1.5871999,202.0,23.2,378.0,1222.0,6.3375664,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1270.2368,-1.5871999,202.0,23.2,378.0,1222.0,5.307878,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1256.9458,-1.5871999,202.0,23.2,378.0,1222.0,4.2792187,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1279.4109,-1.5871999,202.0,23.2,378.0,1222.0,2.5640535,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1249.165,-1.5871999,202.0,23.2,378.0,1222.0,7.5893974,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1204.0176,-1.5871999,202.0,23.2,378.0,1222.0,7.4026113,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1192.6923,-1.5871999,202.0,23.2,378.0,1222.0,6.6841216,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1181.251,-1.5871999,202.0,23.2,378.0,1222.0,6.889509,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1161.7192,-1.5871999,202.0,23.2,378.0,1222.0,7.8155284,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1335.7799,-1.6672001,203.0,23.2,426.0,1509.0,3.1469412,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1334.9465,-1.6672001,203.0,23.2,426.0,1509.0,6.014507,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1335.0977,-1.6672001,203.0,23.2,426.0,1509.0,5.4603376,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1324.1075,-1.6672001,203.0,23.2,426.0,1509.0,2.5223863,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1309.7987,-1.6672001,203.0,23.2,426.0,1509.0,0.7693733,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1291.9327,-1.6672001,203.0,23.2,426.0,1509.0,2.648225,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1264.545,-1.6672001,203.0,23.2,426.0,1509.0,10.432504,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1194.4766,-1.6672001,203.0,23.2,378.0,1222.0,10.959219,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1274.965,-1.6672001,203.0,23.2,378.0,1222.0,0.67001325,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1304.57,-1.6672001,203.0,23.2,378.0,1222.0,0.69688857,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1308.7336,-1.6672001,203.0,23.2,378.0,1222.0,0.96093625,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1312.8438,-1.6672001,203.0,23.2,378.0,1222.0,1.2131835,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1309.6991,-1.6672001,203.0,23.2,378.0,1222.0,0.8815166,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1290.256,-1.6672001,203.0,23.2,378.0,1222.0,0.9177541,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1270.6011,-1.6672001,203.0,23.2,378.0,1222.0,1.8134264,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1257.3192,-1.6672001,203.0,23.2,378.0,1222.0,2.277437,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1253.0991,-1.6672001,203.0,23.2,378.0,1222.0,2.7245271,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1250.2944,-1.6672001,203.0,23.2,378.0,1222.0,2.1503525,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1245.3964,-1.6672001,203.0,23.2,378.0,1222.0,1.0941411,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1278.3628,-1.5871999,203.0,23.2,378.0,1222.0,1.6082504,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1286.2748,-1.5871999,202.0,23.2,378.0,1222.0,4.5307784,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1302.0729,-1.5871999,202.0,23.2,378.0,1222.0,5.4684463,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1291.319,-1.5871999,202.0,23.2,378.0,1222.0,3.807689,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1273.6923,-1.5871999,202.0,23.2,378.0,1222.0,3.575768,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1261.6708,-1.5871999,202.0,23.2,378.0,1222.0,3.5435214,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1243.6575,-1.5871999,202.0,23.2,378.0,1222.0,3.3165312,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1212.0266,-1.5871999,202.0,23.2,378.0,1222.0,5.039541,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1167.7161,-1.5871999,202.0,23.2,378.0,1222.0,5.8408594,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1195.3367,-1.5871999,202.0,23.2,378.0,1222.0,6.456154,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1244.2245,-1.5871999,202.0,23.2,378.0,1222.0,5.859934,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1249.357,-1.5871999,202.0,23.2,378.0,1222.0,7.2092247,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1227.9891,-1.5871999,202.0,23.2,378.0,1222.0,7.2793202,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1229.5806,-1.5871999,202.0,23.2,378.0,1222.0,7.371523,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1258.9062,-1.5871999,202.0,23.2,378.0,1222.0,4.0541515,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1249.1262,-1.5871999,202.0,23.2,378.0,1222.0,9.387703,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1223.9183,-1.5871999,202.0,23.2,378.0,1222.0,7.44873,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1210.9619,-1.5871999,202.0,23.2,378.0,1222.0,5.696339,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1191.7042,-1.5871999,202.0,23.2,378.0,1222.0,6.209426,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1162.8453,-1.5871999,202.0,23.2,378.0,1222.0,6.84596,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1322.1675,-1.6672001,203.0,23.2,426.0,1509.0,1.9599484,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1329.3455,-1.6672001,203.0,23.2,426.0,1509.0,5.7600846,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1326.2721,-1.6672001,203.0,23.2,426.0,1509.0,5.9276805,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1314.8579,-1.6672001,203.0,23.2,426.0,1509.0,3.1453342,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1299.6384,-1.6672001,203.0,23.2,426.0,1509.0,1.3868297,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1270.4296,-1.6672001,203.0,23.2,426.0,1509.0,3.7738242,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1240.54,-1.6672001,203.0,23.2,378.0,1222.0,8.808674,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1241.5685,-1.6672001,203.0,23.2,378.0,1222.0,8.39998,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1310.6302,-1.6672001,203.0,23.2,378.0,1222.0,2.184412,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1317.646,-1.6672001,203.0,23.2,378.0,1222.0,1.7842183,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1320.6449,-1.6672001,203.0,23.2,378.0,1222.0,1.7072489,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1317.2972,-1.6672001,203.0,23.2,378.0,1222.0,1.6296492,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1312.7568,-1.6672001,203.0,23.2,378.0,1222.0,0.6304807,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1294.8992,-1.6672001,203.0,23.2,378.0,1222.0,0.25938967,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1277.0305,-1.6672001,203.0,23.2,378.0,1222.0,1.318264,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1267.1685,-1.6672001,203.0,23.2,378.0,1222.0,2.0219767,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1258.2751,-1.6672001,203.0,23.2,378.0,1222.0,2.5717654,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1263.0953,-1.6672001,203.0,23.2,378.0,1222.0,2.1010704,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1282.3022,-1.6672001,203.0,23.2,378.0,1222.0,1.0802096,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1334.9785,-1.5871999,203.0,23.2,378.0,1222.0,1.7602988,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1330.8184,-1.5871999,202.0,23.2,378.0,1222.0,4.4675736,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1324.3002,-1.5871999,202.0,23.2,378.0,1222.0,3.884779,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1263.5363,-1.5871999,202.0,23.2,378.0,1222.0,3.2482285,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1258.4283,-1.5871999,202.0,23.2,378.0,1222.0,2.725377,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1272.0441,-1.5871999,202.0,23.2,378.0,1222.0,2.3473809,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1267.0621,-1.5871999,202.0,23.2,378.0,1222.0,1.8870938,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1237.5947,-1.5871999,202.0,23.2,378.0,1222.0,2.5347784,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1209.8042,-1.5871999,202.0,23.2,378.0,1222.0,2.671282,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1235.6672,-1.5871999,202.0,23.2,378.0,1222.0,5.9416256,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1254.624,-1.5871999,202.0,23.2,378.0,1222.0,4.997775,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1214.3099,-1.5871999,202.0,23.2,378.0,1222.0,6.737959,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1184.3988,-1.5871999,202.0,23.2,378.0,1222.0,7.1465983,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1197.7118,-1.5871999,202.0,23.2,378.0,1222.0,8.490964,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1250.4797,-1.5871999,202.0,23.2,378.0,1222.0,6.771936,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1262.8123,-1.5871999,202.0,23.2,378.0,1222.0,9.1380205,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1248.0278,-1.5871999,202.0,23.2,378.0,1222.0,7.63243,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1232.1455,-1.5871999,202.0,23.2,378.0,1222.0,5.3926525,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1206.0508,-1.5871999,202.0,23.2,378.0,1222.0,5.076945,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
134.16,201.0,1184.5299,-1.5871999,202.0,23.2,378.0,1222.0,4.427703,0.359375,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1307.515,-1.6672001,203.0,23.2,426.0,1509.0,1.2120535,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1315.1187,-1.6672001,203.0,23.2,426.0,1509.0,5.51648,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
149.76,201.0,1300.3323,-1.6672001,203.0,23.2,426.0,1509.0,6.8473454,0.35700575,1.0,10.0,0.33,0.12,0.23,0.22,0.45,0.78,0.45
