aws0_100,DEP2RES,HeatLoad,MAPMCMT,Rad_sm,B_TD,soc_05,soc0_20,slope,pratio,consLITH,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP
125.2,125.0,1163.4678,-3.1188002,218.0,23.4,3990.0,6461.0,17.122252,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1150.002,-3.1188002,218.0,23.4,3990.0,6461.0,20.561874,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1152.5073,-3.1188002,218.0,23.4,3990.0,6461.0,16.677826,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1135.0234,-3.1188002,218.0,23.4,3990.0,6461.0,15.03451,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1047.7836,-3.1188002,218.0,23.4,3990.0,6461.0,19.478659,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,934.0343,-3.1188002,218.0,23.4,3990.0,6461.0,23.403831,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,886.55054,-3.1188002,218.0,23.4,3990.0,6461.0,23.11693,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,722.45056,-3.1188002,218.0,23.4,3990.0,6461.0,24.006653,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,647.55914,-3.1188002,218.0,23.4,3990.0,6461.0,19.538975,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,859.20953,-3.1188002,217.0,23.3,3990.0,6461.0,13.643707,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1079.8553,-3.1188002,217.0,23.3,3990.0,6461.0,17.02583,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,699.6491,-2.8688002,215.0,23.4,3990.0,6461.0,21.939468,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,857.3297,-2.8688002,215.0,23.4,3990.0,6461.0,20.856169,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,963.31915,-2.8688002,215.0,23.4,3990.0,6461.0,22.60868,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,929.6066,-2.8688002,215.0,23.4,3990.0,6461.0,26.5226,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,958.7286,-2.8688002,215.0,23.4,3990.0,6461.0,22.138432,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,983.73865,-2.8688002,215.0,23.4,3990.0,6461.0,21.266525,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,934.75397,-2.8688002,215.0,23.4,3990.0,6461.0,28.923973,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,939.0018,-2.8688002,215.0,23.4,3990.0,6461.0,26.284504,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1023.25275,-2.8688002,215.0,23.4,3990.0,6461.0,19.004988,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1025.4391,-2.8688002,218.0,23.4,3990.0,6461.0,18.383827,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1054.7728,-2.8688002,218.0,23.4,3990.0,6461.0,15.095626,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1097.249,-2.8688002,218.0,23.4,3990.0,6461.0,8.800777,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1166.5996,-2.8688002,218.0,23.4,3990.0,6461.0,7.436125,0.34202453,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1174.8593,-3.1188002,218.0,23.4,3990.0,6461.0,17.677963,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1133.7213,-3.1188002,218.0,23.4,3990.0,6461.0,17.415836,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1123.5708,-3.1188002,218.0,23.4,3990.0,6461.0,17.230335,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1092.9081,-3.1188002,218.0,23.4,3990.0,6461.0,18.071634,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1076.376,-3.1188002,218.0,23.4,3990.0,6461.0,15.515557,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,973.18054,-3.1188002,218.0,23.4,3990.0,6461.0,20.420418,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,766.456,-3.1188002,218.0,23.4,3990.0,6461.0,24.583412,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,708.7874,-3.1188002,218.0,23.4,3990.0,6461.0,25.300014,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,669.54315,-3.1188002,218.0,23.4,3990.0,6461.0,26.39966,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,640.33093,-3.1188002,218.0,23.4,3990.0,6461.0,23.834646,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,741.0355,-3.1188002,218.0,23.4,3990.0,6461.0,16.980297,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,972.8622,-3.1188002,217.0,23.3,3990.0,6461.0,17.49328,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125.2,125.0,1076.737,-3.1188002,217.0,23.3,3990.0,6461.0,17.911156,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128.7,125.0,1059.5607,-3.1188002,217.0,23.3,3729.0,6011.0,20.91651,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128.7,125.0,1056.8319,-3.1188002,217.0,23.3,3729.0,6011.0,20.20788,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128.7,125.0,1050.9049,-3.1188002,217.0,23.3,3729.0,6011.0,18.370377,0.33923304,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
